entry_date,side,predicted_win_probability,accepted,model_ready,training_sample_count,realized_label,realized_net_pnl_per_spread
2020-10-15,bull_put,0.5,1,0,0,0,-131.94
2020-10-19,bull_put,0.5,1,0,0,1,36.85
2020-10-20,bull_put,0.5,1,0,2,1,31.31
2020-10-21,bull_put,0.5,1,0,3,0,-57.88
2020-11-12,bull_put,0.5,1,0,5,1,312.64
2020-11-30,bull_put,0.5,1,0,7,1,234.9
2020-12-09,bull_put,0.5,1,0,9,0,-22.12
2020-12-14,bull_put,0.5,1,0,9,1,223.11
2021-01-04,bull_put,0.5,1,0,13,1,227.94
2021-01-13,bull_put,0.5,1,0,16,0,-89.56
2021-01-15,bull_put,0.5,1,0,16,1,231.01
2021-01-27,bull_put,0.5,1,0,18,1,77.9
2021-01-28,bull_put,0.5,1,0,18,0,-244.24
2021-02-18,bull_put,0.5,1,0,20,0,-79.94
2021-02-22,bull_put,0.5,1,0,20,1,15.92
2021-02-23,bull_put,0.5,1,0,22,0,-142.18
2021-02-25,bull_put,0.5,1,0,23,0,-46.13
2021-02-26,bull_put,0.5,1,0,24,1,150.59
2021-03-18,bull_put,0.5,1,0,26,0,-15.97
2021-03-19,bull_put,0.5,1,0,26,1,14.56
2021-03-24,bull_put,0.5,1,0,29,1,100.32
2021-03-25,bull_put,0.5,1,0,29,1,282.26
2021-04-20,bull_put,0.5,1,0,31,1,248.6
2021-05-04,bull_put,0.5,1,0,32,1,7.06
2021-05-05,bull_put,0.5,1,0,33,1,18.83
2021-05-11,bull_put,0.5,1,0,34,0,-258.2
2021-05-12,bull_put,0.5,1,0,35,1,108.18
2021-05-13,bull_put,0.5,1,0,36,1,80.22
2021-05-19,bull_put,0.5,1,0,38,1,240.96
2021-06-03,bull_put,0.5,1,0,39,1,244.21
2021-06-16,bull_put,0.7668,1,1,40,1,0.52
2021-06-17,bull_put,0.8137,1,1,41,0,-152.54
2021-07-08,bull_put,0.6942,1,1,43,1,116.89
2021-07-16,bull_put,0.8126,1,1,43,0,-176.86
2021-07-19,bull_put,0.8761,1,1,45,1,130.31
2021-07-20,bull_put,0.683,1,1,46,1,280.64
2021-08-02,bull_put,0.7053,1,1,48,1,284.68
2021-08-17,bull_put,0.9073,1,1,50,0,-132.4
2021-08-18,bull_put,0.7559,1,1,50,1,20.23
2021-08-19,bull_put,0.8121,1,1,51,1,277.51
2021-09-08,bull_put,0.6768,1,1,53,0,-45.36
2021-09-09,bull_put,0.7778,1,1,53,0,-89.14
2021-09-10,bull_put,0.7209,1,1,55,1,31.75
2021-09-13,bull_put,0.7023,1,1,56,0,-58.56
2021-09-14,bull_put,0.7946,1,1,57,1,88.64
2021-11-10,bull_put,0.4849,0,1,59,1,281.9
2021-11-11,bull_put,0.5504,0,1,59,1,292.61
2021-11-23,bull_put,0.6973,1,1,59,0,-252.6
2021-11-26,bull_put,0.93,1,1,61,1,128.13
2021-11-29,bull_put,0.6232,0,1,62,0,-267.07
2021-11-30,bull_put,0.857,1,1,63,0,-140.02
2021-12-02,bull_put,0.0809,0,1,65,0,-100.62
2021-12-13,bull_put,0.2772,0,1,66,0,-86.12
