entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,return_on_risk_pct
2020-10-15,2020-10-19,bull_put,20,316.0,300.0,3.5837,4.8831,24832.61,-2638.74,-10.63
2020-10-19,2020-10-20,bull_put,19,311.0,295.0,3.5161,3.1276,23719.47,700.11,2.95
2020-10-20,2020-10-21,bull_put,19,312.0,296.0,3.4226,3.0895,23897.1,594.95,2.49
2020-10-21,2020-10-26,bull_put,18,311.0,295.0,2.8564,3.4152,23658.46,-1041.85,-4.4
2020-11-12,2020-11-24,bull_put,20,321.0,305.0,3.9565,0.81,24087.07,6252.89,25.96
2020-11-30,2020-12-08,bull_put,18,329.0,312.0,3.0105,0.6415,25181.08,4228.21,16.79
2020-12-09,2020-12-14,bull_put,19,333.0,316.0,2.8084,3.0097,26963.99,-420.37,-1.56
2020-12-14,2020-12-24,bull_put,18,331.0,314.0,2.7932,0.542,25572.31,4016.05,15.7
2021-01-04,2021-01-08,bull_put,19,336.0,319.0,2.7787,0.4793,27020.44,4330.86,16.03
2021-01-13,2021-01-15,bull_put,20,346.0,329.0,2.8317,3.7073,28336.52,-1791.12,-6.32
2021-01-15,2021-01-26,bull_put,19,343.0,325.0,3.05,0.7199,28404.92,4389.21,15.45
2021-01-27,2021-01-28,bull_put,19,342.0,324.0,3.0914,2.2925,28326.26,1480.01,5.22
2021-01-28,2021-01-29,bull_put,20,345.0,327.0,3.1269,5.5493,29746.2,-4884.76,-16.42
2021-02-18,2021-02-22,bull_put,19,356.0,338.0,2.9486,3.728,28597.62,-1518.77,-5.31
2021-02-22,2021-02-23,bull_put,19,353.0,335.0,3.0436,2.8645,28417.08,302.45,1.06
2021-02-23,2021-02-25,bull_put,18,354.0,335.0,3.2373,4.6391,28372.84,-2559.24,-9.02
2021-02-25,2021-02-26,bull_put,18,349.0,331.0,3.1655,3.6067,26702.18,-830.28,-3.11
2021-02-26,2021-03-02,bull_put,18,347.0,329.0,3.0729,1.5471,26868.76,2710.53,10.09
2021-03-18,2021-03-19,bull_put,19,357.0,339.0,3.8002,3.9399,26979.6,-303.36,-1.12
2021-03-19,2021-03-23,bull_put,19,356.0,338.0,3.7096,3.5441,27151.71,276.56,1.02
2021-03-24,2021-03-25,bull_put,20,355.0,337.0,3.8798,2.8566,28240.34,2006.42,7.1
2021-03-25,2021-04-01,bull_put,18,357.0,338.0,3.4903,0.6478,27917.42,5080.59,18.2
