entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,predicted_win_probability
2020-10-15,2020-10-19,bull_put,80,316.0,300.0,3.5837,4.8831,99330.44,-10554.95,0.5
2020-10-19,2020-10-20,bull_put,71,311.0,295.0,3.5161,3.1276,88635.92,2616.21,0.5
2020-10-20,2020-10-21,bull_put,73,312.0,296.0,3.4226,3.0895,91815.16,2285.85,0.5
2020-10-21,2020-10-26,bull_put,71,311.0,295.0,2.8564,3.4152,93319.47,-4109.51,0.5
2020-11-12,2020-11-24,bull_put,74,321.0,305.0,3.9565,0.81,89122.17,23135.68,0.5
2020-11-30,2020-12-08,bull_put,81,329.0,312.0,3.0105,0.6415,113314.87,19026.95,0.5
2020-12-09,2020-12-14,bull_put,93,333.0,316.0,2.8084,3.0097,131981.61,-2057.61,0.5
2020-12-14,2020-12-24,bull_put,91,331.0,314.0,2.7932,0.542,129282.24,20303.37,0.5
2021-01-04,2021-01-08,bull_put,105,336.0,319.0,2.7787,0.4793,149323.46,23933.72,0.5
2021-01-13,2021-01-15,bull_put,123,346.0,329.0,2.8317,3.7073,174269.57,-11015.42,0.5
2021-01-15,2021-01-26,bull_put,109,343.0,325.0,3.05,0.7199,162954.52,25180.21,0.5
2021-01-27,2021-01-28,bull_put,126,342.0,324.0,3.0914,2.2925,187847.85,9814.78,0.5
2021-01-28,2021-01-29,bull_put,133,345.0,327.0,3.1269,5.5493,197812.22,-32483.64,0.5
2021-02-18,2021-02-22,bull_put,110,356.0,338.0,2.9486,3.728,165565.19,-8792.86,0.5
2021-02-22,2021-02-23,bull_put,105,353.0,335.0,3.0436,2.8645,157041.73,1671.44,0.5
2021-02-23,2021-02-25,bull_put,100,354.0,335.0,3.2373,4.6391,157626.88,-14218.02,0.5
2021-02-25,2021-02-26,bull_put,97,349.0,331.0,3.1655,3.6067,143895.09,-4474.28,0.5
2021-02-26,2021-03-02,bull_put,93,347.0,329.0,3.0729,1.5471,138821.94,14004.43,0.5
2021-03-18,2021-03-19,bull_put,108,357.0,339.0,3.8002,3.9399,153357.75,-1724.36,0.5
