entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,predicted_win_probability
2020-10-15,2020-10-19,bull_put,40,316.0,300.0,3.5837,4.8831,49665.22,-5277.48,0.5
2020-10-19,2020-10-20,bull_put,37,311.0,295.0,3.5161,3.1276,46190.55,1363.38,0.5
2020-10-20,2020-10-21,bull_put,38,312.0,296.0,3.4226,3.0895,47794.2,1189.89,0.5
2020-10-21,2020-10-26,bull_put,37,311.0,295.0,2.8564,3.4152,48631.27,-2141.58,0.5
2020-11-12,2020-11-24,bull_put,39,321.0,305.0,3.9565,0.81,46969.79,12193.13,0.5
2020-11-30,2020-12-08,bull_put,38,329.0,312.0,3.0105,0.6415,53160.06,8926.22,0.5
2020-12-09,2020-12-14,bull_put,40,333.0,316.0,2.8084,3.0097,56766.29,-884.99,0.5
2020-12-14,2020-12-24,bull_put,40,331.0,314.0,2.7932,0.542,56827.36,8924.56,0.5
2021-01-04,2021-01-08,bull_put,43,336.0,319.0,2.7787,0.4793,61151.51,9801.43,0.5
2021-01-13,2021-01-15,bull_put,47,346.0,329.0,2.8317,3.7073,66590.81,-4209.14,0.5
2021-01-15,2021-01-26,bull_put,43,343.0,325.0,3.05,0.7199,64284.81,9933.48,0.5
2021-01-27,2021-01-28,bull_put,46,342.0,324.0,3.0914,2.2925,68579.37,3583.17,0.5
2021-01-28,2021-01-29,bull_put,48,345.0,327.0,3.1269,5.5493,71390.87,-11723.42,0.5
2021-02-18,2021-02-22,bull_put,43,356.0,338.0,2.9486,3.728,64720.94,-3437.21,0.5
2021-02-22,2021-02-23,bull_put,42,353.0,335.0,3.0436,2.8645,62816.69,668.57,0.5
2021-02-23,2021-02-25,bull_put,40,354.0,335.0,3.2373,4.6391,63050.75,-5687.21,0.5
2021-02-25,2021-02-26,bull_put,41,349.0,331.0,3.1655,3.6067,60821.64,-1891.19,0.5
2021-02-26,2021-03-02,bull_put,40,347.0,329.0,3.0729,1.5471,59708.36,6023.41,0.5
2021-03-18,2021-03-19,bull_put,44,357.0,339.0,3.8002,3.9399,62479.08,-702.52,0.5
2021-03-19,2021-03-23,bull_put,44,356.0,338.0,3.7096,3.5441,62877.65,640.46,0.5
2021-03-24,2021-03-25,bull_put,45,355.0,337.0,3.8798,2.8566,63540.76,4514.45,0.5
2021-03-25,2021-04-01,bull_put,42,357.0,338.0,3.4903,0.6478,65140.65,11854.71,0.5
2021-04-20,2021-04-29,bull_put,45,377.0,358.0,3.1772,0.6712,71202.52,11187.17,0.5
2021-05-04,2021-05-05,bull_put,48,380.0,361.0,3.1556,3.0651,76053.0,338.69,0.5
2021-05-05,2021-05-11,bull_put,46,381.0,361.0,3.4401,3.2318,76175.67,866.05,0.5
2021-05-11,2021-05-12,bull_put,49,379.0,360.0,3.2236,5.7855,77304.58,-12651.65,0.5
2021-05-12,2021-05-13,bull_put,45,371.0,352.0,3.1883,2.0865,71152.51,4868.07,0.5
2021-05-13,2021-05-18,bull_put,44,376.0,356.0,3.4106,2.5884,72993.28,3529.65,0.5
2021-05-19,2021-05-27,bull_put,48,376.0,357.0,3.2223,0.7926,75733.04,11566.31,0.5
2021-06-03,2021-06-15,bull_put,51,383.0,364.0,3.2036,0.7415,80561.5,12454.92,0.5
2021-06-16,2021-06-17,bull_put,55,386.0,367.0,3.2074,3.1822,86859.18,28.84,0.7668
2021-06-17,2021-06-18,bull_put,55,386.0,367.0,3.2398,4.7453,86680.93,-8389.82,0.8137
2021-07-08,2021-07-16,bull_put,50,396.0,376.0,3.4851,2.2962,82574.68,5844.52,0.6942
2021-07-16,2021-07-19,bull_put,52,396.0,376.0,3.3844,5.133,86401.01,-9196.69,0.8126
2021-07-19,2021-07-20,bull_put,49,390.0,370.0,3.3083,1.9851,81789.44,6385.37,0.8761
2021-07-20,2021-07-29,bull_put,51,396.0,376.0,3.4513,0.6248,84398.5,14312.89,0.683
2021-08-02,2021-08-12,bull_put,52,402.0,381.0,3.5375,0.6707,90805.25,14803.23,0.7053
2021-08-17,2021-08-18,bull_put,57,408.0,387.0,3.5952,4.8993,99207.29,-7547.06,0.9073
2021-08-18,2021-08-19,bull_put,57,403.0,383.0,3.3762,3.1539,94755.68,1153.36,0.7559
2021-08-19,2021-08-27,bull_put,55,404.0,383.0,3.5276,0.7326,96098.04,15262.94,0.8121
2021-09-08,2021-09-09,bull_put,59,414.0,393.0,3.5513,3.9849,102947.28,-2676.28,0.6768
2021-09-09,2021-09-10,bull_put,58,412.0,391.0,3.4801,4.3516,101615.26,-5170.36,0.7778
2021-09-10,2021-09-13,bull_put,57,409.0,388.0,3.5263,3.1888,99599.84,1809.81,0.7209
2021-09-13,2021-09-14,bull_put,57,410.0,389.0,3.5204,4.086,99633.91,-3338.09,0.7023
2021-09-14,2021-09-15,bull_put,57,408.0,387.0,3.5637,2.6573,99387.01,5052.36,0.7946
2021-11-23,2021-11-26,bull_put,55,431.0,409.0,3.641,6.147,100974.46,-13892.75,0.6973
2021-11-26,2021-11-29,bull_put,52,423.0,401.0,3.7199,2.4186,95056.73,6662.69,0.93
2021-11-30,2021-12-01,bull_put,53,420.0,398.0,3.7388,5.119,96784.32,-7421.04,0.857
2024-06-21,2024-07-05,bull_put,42,523.0,496.0,4.6314,0.5816,93948.1,16925.19,0.6795
2024-07-17,2024-07-18,bull_put,44,535.0,507.0,4.7721,5.9238,102202.83,-5155.75,0.7238
2024-08-22,2024-09-03,bull_put,48,534.0,507.0,6.2225,4.0097,99732.04,10525.49,0.6536
2024-10-17,2024-10-23,bull_put,44,561.0,532.0,4.9536,5.3076,105804.08,-1645.56,0.6556
